Modifier Flow Rate,Date,Drift time: AngioII +1,Drift time: T12A,Drift time: AngioII +2,Temperature,Pressure,Drift Tube Voltage,Modifier flow rate in torr,Reduced Mobility: AngioII +1,Reduced Mobility: T12A,Reduced Mobility: AngioII +2,angioII_p1 average m/z,t12a average m/z,angioII_p2 average m/z,angioII_p1 intensity,t12a intensity,angioII_p2 intensity
0,20220221,29.89487476,29.98003866,16.50402563,295.25,696.1,5820,0,0.596606414,0.594911642,1.080674159,1046.65994,690.7346453,523.874384,4921085.529,546864.8593,651749.6927
0,20220221,27.60327073,27.64201941,15.15530074,295.25,696.1,6317,0,0.595300461,0.594465967,1.084256926,1046.661019,690.7377663,523.8932275,5990340.069,670307.5349,854536.33
0,20220221,28.78696707,28.76347364,15.96879922,295.25,696.1,6074,0,0.593658844,0.594143733,1.070189272,1046.660317,690.7356372,523.8842041,5486556.321,608627.6687,767023.3038
10,20220221,30.03226101,29.97510609,16.7656288,295.25,696.1,5820,0.03309,0.593877165,0.595009538,1.063811816,1048.248619,690.7594015,525.175269,6130809.939,948426.8245,1170995.019
10,20220221,27.73484679,27.66517256,15.50683231,295.25,696.1,6317,0.03309,0.592476314,0.593968455,1.059677404,1048.281841,690.7619915,525.2369614,6699337.405,949350.9068,1465109.974
10,20220221,28.88979047,28.79386165,15.9778611,295.25,696.1,6074,0.03309,0.591545917,0.593516695,1.069582312,1048.319899,690.7625181,525.2524253,6480546.087,984389.3165,1310424.458
20,20220221,30.0443293,29.95082479,16.7672844,295.25,696.1,5820,0.06618,0.593638615,0.595491915,1.063706776,1049.042543,690.7870398,525.7705217,7647370.945,955697.6116,3389379.109
20,20220221,27.77787787,27.62177098,15.55969278,295.25,696.1,6317,0.06618,0.591558501,0.594901747,1.056077394,1049.023076,690.7799335,525.71757,7327471.53,1320807.286,2013064.887
20,20220221,28.87310254,28.76694396,15.94880562,295.25,696.1,6074,0.06618,0.591887816,0.594072058,1.071530873,1049.058499,690.783045,525.7181859,7445898.014,1054129.101,2206502.836
40,20220221,30.26082905,29.95193302,16.78322599,295.25,696.1,5820,0.1324,0.589391454,0.595469882,1.062696411,1050.196221,690.7925402,526.3098958,7277319.536,1051696.877,4279812.989
40,20220221,27.88144885,27.55775961,15.5696551,295.25,696.1,6317,0.1324,0.589361044,0.596283589,1.055401658,1050.031177,690.8075235,526.2514173,8796422.262,1335283.461,5424431.473
40,20220221,28.94058199,28.71515892,16.10744982,295.25,696.1,6074,0.1324,0.590507738,0.59514341,1.060977237,1050.096862,690.8032784,526.2667882,8122793.596,1222091.781,4791177.314
60,20220221,27.98529198,27.62519622,15.5741053,295.25,696.1,6317,0.1985,0.587174142,0.594827985,1.055100083,1050.709361,690.8069232,526.5963518,8165471.321,1418848.763,5914908.784
60,20220221,29.12006602,28.71723647,16.37649138,295.25,696.1,6074,0.1985,0.586868093,0.595100355,1.043546948,1050.77301,690.7976835,526.6138378,7390029.99,1244862.519,5331812.584
60,20220221,30.3853602,29.94488846,16.85963357,295.25,696.1,5820,0.1985,0.586975896,0.595609967,1.057880288,1050.823022,690.7880685,526.6279477,6654636.758,1057061.762,4786461.254
80,20220221,29.18967843,28.71149767,16.37093553,295.25,696.1,6074,0.2647,0.585468512,0.595219302,1.0439011,1051.23426,690.7940136,526.8337495,6804148.42,1280097.735,5475467.923
80,20220221,30.43050106,29.95495201,17.15503306,295.25,696.1,5820,0.2647,0.586105171,0.595409868,1.039664218,1051.265068,690.7840725,526.8397918,6004999.559,1045976.322,4885904.544
80,20220221,28.06424974,27.61729396,15.61353334,295.25,696.1,6317,0.2647,0.585522148,0.594998186,1.052435694,1051.215741,690.8021016,526.8371505,7399751.94,1425778.491,6165859.908
120,20220221,29.32873852,28.72189404,16.40908571,295.25,696.1,6074,0.3971,0.582692556,0.595003853,1.04147409,1051.895024,690.7884783,527.1400107,5507592.956,1220196.676,5690752.942
120,20220221,30.61027457,29.92445889,17.16463504,295.25,696.1,5820,0.3971,0.582662987,0.596016593,1.039082625,1051.908108,690.757469,527.1382844,3679264.619,663986.2658,4310788.549
120,20220221,27.99819184,27.5804133,15.90899036,295.25,696.1,6317,0.3971,0.586903608,0.59579382,1.032890173,1051.295146,690.79967,526.9429275,6993310.282,1409289.062,6133857.089
160,20220221,29.50401783,28.72916004,16.76946102,295.25,696.1,6074,0.5294,0.57923086,0.594853368,1.019092837,1052.268244,690.7706208,527.295978,3729009.169,769512.2987,4276717.657
160,20220221,30.65317304,29.93198629,17.30749447,295.25,696.1,5820,0.5294,0.581847563,0.595866704,1.030505834,1052.297205,690.7630747,527.3033619,3478331.541,664971.1137,4541451.213
160,20220221,28.38455929,27.62435271,15.9782454,295.25,696.1,6317,0.5294,0.578914741,0.594846148,1.028413283,1052.263771,690.7824204,527.30481,4758056.576,927452.2868,5101885.661
240,20220221,29.56827318,28.73410901,16.75270259,295.25,696.1,6074,0.7941,0.577972122,0.594750914,1.020112278,1052.765439,690.7746554,527.473983,3536093.1,760998.8403,5154701.326
240,20220221,30.80554016,29.96316377,17.55084966,295.25,696.1,5820,0.7941,0.57896969,0.595246689,1.016217127,1052.786308,690.7641546,527.4654993,2916225.442,624609.6783,4324240.725
240,20220221,28.4290979,27.59403596,16.04087028,295.25,696.1,6317,0.7941,0.578007781,0.595499688,1.024398272,1052.735554,690.7843851,527.4784639,4203206.16,901781.7165,6056599.304
